vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
021-28450,2025-04-21,Eurofins,new,0.0,0.0,5.0,5.5,outlier
021-28450,2025-04-29,Eurofins,new,0.0,0.0,7.0,5.7,outlier
021-28450,2025-05-07,Eurofins,new,0.0,0.0,8.4,6.2,outlier
021-28450,2025-05-13,Eurofins,new,0.0,0.0,9.6,6.1,outlier
021-28450,2025-05-19,Eurofins,new,0.0,0.0,11.0,6.1,outlier
021-28450,2025-06-02,Eurofins,new,0.0,0.0,7.3,6.3,outlier
021-28450,2025-06-18,Eurofins,new,0.0,0.0,9.8,5.11,outlier
022-32018,2025-04-14,Eurofins,new,0.0,0.0,5.5,5.9,outlier
022-32018,2025-04-29,Eurofins,new,0.0,0.0,7.1,5.4,outlier
022-32018,2025-05-12,Eurofins,new,0.0,0.0,12.0,5.8,outlier
022-32018,2025-05-26,Eurofins,new,0.0,0.0,7.1,6.2,outlier
022-32018,2025-06-02,Eurofins,new,0.0,0.0,6.8,5.7,outlier
022-32020,2025-04-22,Eurofins,new,0.0,0.0,5.6,5.1,outlier
022-32020,2025-05-05,Eurofins,new,0.0,0.0,7.6,5.29,outlier
022-32020,2025-05-12,Eurofins,new,0.0,0.0,7.7,5.33,outlier
022-45769,2025-05-13,Eurofins,new,0.0,0.0,6.2,6.6,outlier
022-58904,2025-05-12,Eurofins,new,0.0,0.0,5.9,6.3,outlier
022-97011,2025-05-05,Eurofins,new,0.0,0.0,3.8,5.14,outlier
036-58753,2025-04-22,Eurofins,new,0.0,0.0,4.0,5.11,outlier
036-58753,2025-04-28,Eurofins,new,0.0,0.0,3.8,5.12,outlier
036-58753,2025-05-19,Eurofins,new,0.0,0.0,5.1,5.13,outlier
061-58800,2025-05-05,Eurofins,new,0.0,0.0,5.1,7.1,outlier
