sample_date,vannmiljo_code,lab,period,depth1,depth2,par,value,outlier
2024-11-04,020-58796,Eurofins,new,0.0,0.0,CA_mg/l,0.89,1
2024-12-03,020-58796,Eurofins,new,0.0,0.0,CA_mg/l,1.1,1
2024-10-29,022-32018,Eurofins,new,0.0,0.0,CA_mg/l,4.7,1
2024-10-29,024-44500,Eurofins,new,0.0,0.0,LAL_µg/l Al,43.0,1
2024-10-29,024-44500,Eurofins,new,0.0,0.0,N-TOT_µg/l N,1400.0,1
2024-10-29,024-44500,Eurofins,new,0.0,0.0,NA_mg/l,6.5,1
2024-11-25,024-44500,Eurofins,new,0.0,0.0,P-TOT_µg/l P,25.0,1
2024-12-09,024-58896,Eurofins,new,0.0,0.0,CA_mg/l,0.79,1
2024-12-02,025-81555,Eurofins,new,0.0,0.0,CA_mg/l,1.7,1
2024-12-02,025-81555,Eurofins,new,0.0,0.0,K_mg/l,1.0,1
2024-12-02,025-81555,Eurofins,new,0.0,0.0,P-TOT_µg/l P,92.0,1
2024-10-28,027-58828,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.7,1
2024-12-02,027-58828,Eurofins,new,0.0,0.0,P-TOT_µg/l P,4.3,1
2024-12-04,030-58764,Eurofins,new,0.0,0.0,CA_mg/l,3.8,1
2024-10-28,031-38523,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.2,1
2024-12-02,036-58863,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.2,1
2024-10-31,045-58816,Eurofins,new,0.0,0.0,P-TOT_µg/l P,30.0,1
2024-10-31,045-58817,Eurofins,new,0.0,0.0,P-TOT_µg/l P,23.0,1
2024-10-27,061-58800,Eurofins,new,0.0,0.0,CA_mg/l,3.0,1
2024-12-03,061-58800,Eurofins,new,0.0,0.0,CA_mg/l,4.4,1
2024-11-01,064-28997,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.8,1
2024-12-02,064-28997,Eurofins,new,0.0,0.0,P-TOT_µg/l P,4.3,1
2024-11-01,064-81557,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.2,1
2024-12-02,064-81557,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.1,1
2024-12-02,064-82800,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.3,1
2024-12-02,082-58871,Eurofins,new,0.0,0.0,CA_mg/l,3.7,1
