,vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value
15521,018-32157,2020-02-17,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,1.17
15522,018-32157,2020-02-17,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,1.15
1409,018-32157,2020-02-17,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,6.24
1410,018-32157,2020-02-17,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,6.02
266,018-32157,2020-02-17,VestfoldLAB (2020),0.0,0.0,TEMP_°C,,1.5
267,018-32157,2020-02-17,VestfoldLAB (2020),0.0,0.0,TEMP_°C,,2.0
4578,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,ALK_mmol/l,,0.074
4579,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,ALK_mmol/l,,0.054
20565,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,ANC_µekv/l,,72.11408642918215
20566,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,ANC_µekv/l,,41.073325477465225
14842,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,1.25
14843,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,0.87
13507,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,CL_mg/l,,6.4
13508,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,CL_mg/l,,6.6
10370,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,ILAL_µg/l Al,,69.0
10371,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,ILAL_µg/l Al,,27.0
3953,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,KOND_mS/m,,3.6
3954,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,KOND_mS/m,,3.5
18065,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,K_mg/l,,0.31
18066,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,K_mg/l,,0.31
11981,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,LAL_µg/l Al,,48.0
11982,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,LAL_µg/l Al,,35.0
18690,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,MG_mg/l,,0.52
18691,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,MG_mg/l,,0.54
6447,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,N-NO3_µg/l N,,340.0
6448,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,N-NO3_µg/l N,,270.0
5822,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,N-TOT_µg/l N,,400.0
5823,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,N-TOT_µg/l N,,360.0
19315,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,NA_mg/l,,4.75
19316,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,NA_mg/l,,4.32
5197,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,P-TOT_µg/l P,,32.0
5198,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,P-TOT_µg/l P,,1.0
729,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,6.28
730,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,6.05
8759,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,RAL_µg/l Al,,117.0
8760,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,RAL_µg/l Al,,62.0
19940,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,SIO2_µg/l Si,,1552.2436750998668
19941,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,SIO2_µg/l Si,,1168.858189081225
14132,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,SO4_mg/l,,2.2
14133,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,SO4_mg/l,,1.9
7156,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,3.8
7157,024-58894,2020-01-06,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,3.3
4585,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,ALK_mmol/l,,0.034
4586,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,ALK_mmol/l,,0.025
20572,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,ANC_µekv/l,,-1.545802049025824
20573,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,ANC_µekv/l,,-11.251583011566868
14849,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,0.42
14850,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,0.41
13514,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,CL_mg/l,,5.0
13515,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,CL_mg/l,,5.7
10377,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,ILAL_µg/l Al,,78.0
10378,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,ILAL_µg/l Al,,29.0
3960,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,KOND_mS/m,,2.6
3961,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,KOND_mS/m,,2.9
18072,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,K_mg/l,,0.2
18073,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,K_mg/l,,0.23
11988,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,LAL_µg/l Al,,91.0
11989,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,LAL_µg/l Al,,71.0
18697,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,MG_mg/l,,0.35
18698,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,MG_mg/l,,0.42
6454,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,N-NO3_µg/l N,,180.0
6455,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,N-NO3_µg/l N,,170.0
5829,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,N-TOT_µg/l N,,300.0
5830,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,N-TOT_µg/l N,,280.0
19322,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,NA_mg/l,,2.97
19323,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,NA_mg/l,,3.0
5204,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,P-TOT_µg/l P,,1.0
5205,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,P-TOT_µg/l P,,1.0
736,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,5.11
737,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,5.01
8766,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,RAL_µg/l Al,,169.0
8767,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,RAL_µg/l Al,,100.0
19947,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,SIO2_µg/l Si,,818.2007323568575
19948,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,SIO2_µg/l Si,,720.0166444740346
14139,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,SO4_mg/l,,1.6
14140,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,SO4_mg/l,,1.5
7163,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,5.0
7164,024-58895,2020-01-06,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,4.0
14864,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,1.02
14865,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,1.08
10392,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,ILAL_µg/l Al,,51.0
10393,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,ILAL_µg/l Al,,16.0
12003,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,LAL_µg/l Al,,45.0
12004,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,LAL_µg/l Al,,26.0
751,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,6.11
752,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,6.16
8781,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,RAL_µg/l Al,,96.0
8782,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,RAL_µg/l Al,,42.0
7178,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,3.2
