vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
019-44498,2023-08-07,Eurofins,new,0.0,0.0,20.0,6.1,outlier
021-28450,2023-07-04,Eurofins,new,0.0,0.0,7.8,6.9,outlier
021-28450,2023-08-04,Eurofins,new,0.0,0.0,8.2,6.9,outlier
021-28450,2023-08-14,Eurofins,new,0.0,0.0,7.8,6.7,outlier
021-28450,2023-09-04,Eurofins,new,0.0,0.0,6.8,6.7,outlier
022-32006,2023-07-04,Eurofins,new,0.0,0.0,4.4,7.3,outlier
022-32018,2023-07-03,Eurofins,new,0.0,0.0,8.7,7.4,outlier
022-32018,2023-07-11,Eurofins,new,0.0,0.0,6.1,7.1,outlier
022-32018,2023-09-08,Eurofins,new,0.0,0.0,8.9,7.3,outlier
022-32019,2023-08-09,Eurofins,new,0.0,0.0,8.0,7.3,outlier
022-32020,2023-08-09,Eurofins,new,0.0,0.0,8.5,6.9,outlier
022-32020,2023-09-08,Eurofins,new,0.0,0.0,5.5,6.8,outlier
022-58904,2023-07-19,Eurofins,new,0.0,0.0,5.7,7.2,outlier
023-58887,2023-07-03,Eurofins,new,0.0,0.0,5.9,7.2,outlier
024-58894,2023-07-03,Eurofins,new,0.0,0.0,7.6,7.0,outlier
030-58764,2023-07-31,Eurofins,new,0.0,0.0,4.4,5.4,outlier
030-58838,2023-08-07,Eurofins,new,0.0,0.0,39.0,5.9,outlier
030-58838,2023-08-14,Eurofins,new,0.0,0.0,7.2,6.0,outlier
030-58838,2023-09-04,Eurofins,new,0.0,0.0,11.0,6.2,outlier
061-58800,2023-07-31,Eurofins,new,0.0,0.0,6.1,6.9,outlier
061-58800,2023-08-08,Eurofins,new,0.0,0.0,5.9,6.8,outlier
061-58800,2023-08-22,Eurofins,new,0.0,0.0,6.0,6.8,outlier
061-58800,2023-09-04,Eurofins,new,0.0,0.0,6.4,6.7,outlier
