sample_date,vannmiljo_code,lab,period,depth1,depth2,par,value,outlier
2023-08-14,018-46371,Eurofins,new,0.0,0.0,CA_mg/l,2.9,1
2023-09-18,018-46371,Eurofins,new,0.0,0.0,CA_mg/l,3.0,1
2023-08-07,019-44498,Eurofins,new,0.0,0.0,ANC_µekv/l,1200.0,1
2023-08-07,019-44498,Eurofins,new,0.0,0.0,CA_mg/l,20.0,1
2023-08-07,019-44498,Eurofins,new,0.0,0.0,MG_mg/l,0.83,1
2023-08-07,019-44498,Eurofins,new,0.0,0.0,NA_mg/l,4.6,1
2023-07-03,019-79148,Eurofins,new,0.0,0.0,CA_mg/l,3.1,1
2023-08-15,02.01-58890,Eurofins,new,0.0,0.0,LAL_µg/l Al,60.0,1
2023-07-31,020-58796,Eurofins,new,0.0,0.0,CA_mg/l,0.86,1
2023-09-04,020-58796,Eurofins,new,0.0,0.0,CA_mg/l,0.83,1
2023-07-04,021-28450,Eurofins,new,0.0,0.0,CA_mg/l,7.8,1
2023-08-04,021-28450,Eurofins,new,0.0,0.0,CA_mg/l,8.2,1
2023-08-14,021-28450,Eurofins,new,0.0,0.0,CA_mg/l,7.8,1
2023-09-04,021-28450,Eurofins,new,0.0,0.0,CA_mg/l,6.8,1
2023-07-03,021-32115,Eurofins,new,0.0,0.0,KOND_mS/m,29.9,1
2023-07-03,022-32018,Eurofins,new,0.0,0.0,CA_mg/l,8.7,1
2023-07-11,022-32018,Eurofins,new,0.0,0.0,CA_mg/l,6.1,1
2023-09-08,022-32018,Eurofins,new,0.0,0.0,CA_mg/l,8.9,1
2023-08-09,022-32019,Eurofins,new,0.0,0.0,CA_mg/l,8.0,1
2023-08-09,022-32020,Eurofins,new,0.0,0.0,CA_mg/l,8.5,1
2023-07-11,022-32020,Eurofins,new,0.0,0.0,LAL_µg/l Al,50.0,1
2023-07-03,023-58887,Eurofins,new,0.0,0.0,ALK_mmol/l,0.23,1
2023-07-03,023-58887,Eurofins,new,0.0,0.0,ANC_µekv/l,320.0,1
2023-07-03,023-58887,Eurofins,new,0.0,0.0,CA_mg/l,5.9,1
2023-07-03,023-62175,Eurofins,new,0.0,0.0,CA_mg/l,4.0,1
2023-07-03,024-58894,Eurofins,new,0.0,0.0,ALK_mmol/l,0.21,1
2023-07-03,024-58894,Eurofins,new,0.0,0.0,CA_mg/l,7.6,1
2023-07-03,024-58894,Eurofins,new,0.0,0.0,K_mg/l,1.5,1
2023-07-03,024-58894,Eurofins,new,0.0,0.0,N-NO3_µg/l N,3500.0,1
2023-07-03,024-58894,Eurofins,new,0.0,0.0,N-TOT_µg/l N,4000.0,1
2023-07-31,024-58896,Eurofins,new,0.0,0.0,CA_mg/l,0.96,1
2023-08-15,025-45773,Eurofins,new,0.0,0.0,CA_mg/l,1.6,1
2023-08-15,025-45773,Eurofins,new,0.0,0.0,LAL_µg/l Al,112.0,1
2023-07-03,025-45779,Eurofins,new,0.0,0.0,K_mg/l,0.56,1
2023-08-15,025-45779,Eurofins,new,0.0,0.0,P-TOT_µg/l P,21.0,1
2023-09-04,027-58828,Eurofins,new,0.0,0.0,CA_mg/l,1.0,1
2023-09-04,027-58828,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.4,1
2023-09-04,030-30839,Eurofins,new,0.0,0.0,ANC_µekv/l,-97.0,1
2023-09-04,030-30839,Eurofins,new,0.0,0.0,SO4_mg/l,3.02,1
2023-07-03,030-47471,Eurofins,new,0.0,0.0,ILAL_µg/l Al,110.0,1
2023-07-31,030-58764,Eurofins,new,0.0,0.0,CA_mg/l,4.4,1
2023-07-17,030-58765,Eurofins,new,0.0,0.0,CA_mg/l,1.7,1
2023-09-04,030-58838,Eurofins,new,0.0,0.0,ALK_mmol/l,0.26,1
2023-08-07,030-58838,Eurofins,new,0.0,0.0,ANC_µekv/l,2800.0,1
2023-08-07,030-58838,Eurofins,new,0.0,0.0,CA_mg/l,39.0,1
2023-09-04,030-58838,Eurofins,new,0.0,0.0,CA_mg/l,11.0,1
2023-09-04,030-58838,Eurofins,new,0.0,0.0,KOND_mS/m,12.5,1
2023-08-07,030-58838,Eurofins,new,0.0,0.0,K_mg/l,8.0,1
2023-09-04,030-58838,Eurofins,new,0.0,0.0,K_mg/l,2.8,1
2023-08-07,030-58838,Eurofins,new,0.0,0.0,MG_mg/l,7.2,1
2023-09-04,030-58838,Eurofins,new,0.0,0.0,MG_mg/l,1.9,1
2023-08-07,030-58838,Eurofins,new,0.0,0.0,N-NO3_µg/l N,4600.0,1
2023-09-04,030-58838,Eurofins,new,0.0,0.0,N-NO3_µg/l N,4900.0,1
2023-08-07,030-58838,Eurofins,new,0.0,0.0,N-TOT_µg/l N,4800.0,1
2023-09-04,030-58838,Eurofins,new,0.0,0.0,N-TOT_µg/l N,5200.0,1
2023-08-07,030-58838,Eurofins,new,0.0,0.0,NA_mg/l,17.0,1
2023-08-07,031-38523,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.2,1
2023-09-04,031-38523,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.2,1
2023-09-04,031-58843,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.4,1
2023-08-15,031-58844,Eurofins,new,0.0,0.0,CA_mg/l,2.4,1
2023-09-04,031-58844,Eurofins,new,0.0,0.0,CA_mg/l,2.6,1
2023-08-07,036-58754,Eurofins,new,0.0,0.0,P-TOT_µg/l P,6.7,1
2023-08-07,036-58863,Eurofins,new,0.0,0.0,P-TOT_µg/l P,4.1,1
2023-09-04,045-58817,Eurofins,new,0.0,0.0,ANC_µekv/l,-120.0,1
2023-07-31,061-58800,Eurofins,new,0.0,0.0,CA_mg/l,6.1,1
2023-08-08,061-58800,Eurofins,new,0.0,0.0,CA_mg/l,5.9,1
2023-08-22,061-58800,Eurofins,new,0.0,0.0,CA_mg/l,6.0,1
2023-09-04,061-58800,Eurofins,new,0.0,0.0,CA_mg/l,6.4,1
2023-07-31,061-58800,Eurofins,new,0.0,0.0,KOND_mS/m,8.87,1
2023-08-08,061-58800,Eurofins,new,0.0,0.0,KOND_mS/m,8.99,1
2023-08-22,061-58800,Eurofins,new,0.0,0.0,KOND_mS/m,9.79,1
2023-09-04,061-58800,Eurofins,new,0.0,0.0,KOND_mS/m,9.47,1
2023-09-04,064-81557,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.2,1
2023-09-04,064-82800,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.4,1
