vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value,period
018-32157,2022-01-19 07:05:03,Eurofins,0.0,0.0,CA_mg/l,nan,1.4,new
018-32157,2022-01-19 07:05:03,Eurofins,0.0,0.0,CA_mg/l,nan,1.4,new
018-32157,2022-01-19 07:05:03,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1,new
018-32157,2022-01-19 07:05:03,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1,new
018-32157,2022-01-19 07:05:03,Eurofins,0.0,0.0,TEMP_°C,nan,0.7,new
018-32157,2022-01-19 07:05:03,Eurofins,0.0,0.0,TEMP_°C,nan,0.7,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,CA_mg/l,nan,1.4,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,CA_mg/l,nan,1.1,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,77.0,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,70.0,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,KOND_mS/m,nan,3.48,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,KOND_mS/m,nan,3.54,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,23.0,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,50.0,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.5,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,RAL_µg/l Al,nan,100.0,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,RAL_µg/l Al,nan,120.0,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,TOC_mg/l C,nan,4.6,new
022-32018,2022-03-08 07:15:00,Eurofins,0.0,0.0,TOC_mg/l C,nan,4.3,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,CA_mg/l,nan,1.3,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,CA_mg/l,nan,1.7,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,65.0,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,53.0,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,KOND_mS/m,nan,2.89,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,KOND_mS/m,nan,3.38,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,23.0,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,13.0,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,RAL_µg/l Al,nan,88.0,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,RAL_µg/l Al,nan,66.0,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,TOC_mg/l C,nan,4.4,new
022-32019,2022-03-08 07:15:00,Eurofins,0.0,0.0,TOC_mg/l C,nan,4.0,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,CA_mg/l,nan,2.0,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,CA_mg/l,nan,1.7,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,52.0,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,64.0,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,KOND_mS/m,nan,4.95,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,KOND_mS/m,nan,4.26,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,14.0,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,17.0,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.3,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,RAL_µg/l Al,nan,66.0,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,RAL_µg/l Al,nan,81.0,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,TOC_mg/l C,nan,4.0,new
022-32020,2022-03-08 07:15:00,Eurofins,0.0,0.0,TOC_mg/l C,nan,4.2,new
022-58904,2022-01-10 09:00:37,Eurofins,0.0,0.0,CA_mg/l,nan,1.4,new
022-58904,2022-01-10 09:00:37,Eurofins,0.0,0.0,CA_mg/l,nan,1.7,new
022-58904,2022-01-10 09:00:37,Eurofins,0.0,0.0,CA_mg/l,nan,1.4,new
022-58904,2022-01-10 09:00:37,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9,new
022-58904,2022-01-10 09:00:37,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2,new
022-58904,2022-01-10 09:00:37,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.0,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,CA_mg/l,nan,2.2,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,CA_mg/l,nan,1.6,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,85.0,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,95.0,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,KOND_mS/m,nan,4.04,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,KOND_mS/m,nan,3.07,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,15.0,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,25.0,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.0,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,RAL_µg/l Al,nan,100.0,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,RAL_µg/l Al,nan,120.0,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,TOC_mg/l C,nan,6.1,new
022-58904,2022-02-01 07:05:00,Eurofins,0.0,0.0,TOC_mg/l C,nan,6.3,new
022-58904,2022-03-08 07:15:00,Eurofins,0.0,0.0,CA_mg/l,nan,1.6,new
022-58904,2022-03-08 07:15:00,Eurofins,0.0,0.0,CA_mg/l,nan,2.8,new
022-58904,2022-03-08 07:15:00,Eurofins,0.0,0.0,CA_mg/l,nan,2.3,new
022-58904,2022-03-08 07:15:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9,new
022-58904,2022-03-08 07:15:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2,new
022-58904,2022-03-08 07:15:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1,new
