sample_date,vannmiljo_code,lab,period,depth1,depth2,par,value,outlier
2025-09-01,018-32162,Eurofins,new,0.0,0.0,CL_mg/l,10.0,1
2025-09-01,019-101022,Eurofins,new,0.0,0.0,KOND_mS/m,4.43,1
2025-09-29,019-44498,Eurofins,new,0.0,0.0,ANC_µekv/l,-53.0,1
2025-09-29,019-44498,Eurofins,new,0.0,0.0,CL_mg/l,6.5,1
2025-09-05,019-58793,Eurofins,new,0.0,0.0,KOND_mS/m,2.1,1
2025-09-01,020-44497,Eurofins,new,0.0,0.0,ANC_µekv/l,220.0,1
2025-07-14,020-45060,Eurofins,new,0.0,0.0,CA_mg/l,2.3,1
2025-07-14,021-28450,Eurofins,new,0.0,0.0,CA_mg/l,16.0,1
2025-08-27,021-28450,Eurofins,new,0.0,0.0,CA_mg/l,17.0,1
2025-09-01,021-29246,Eurofins,new,0.0,0.0,TOC_mg/l C,19.0,1
2025-07-07,021-79146,Eurofins,new,0.0,0.0,MG_mg/l,0.27,1
2025-07-28,021-79146,Eurofins,new,0.0,0.0,MG_mg/l,0.27,1
2025-08-04,021-79146,Eurofins,new,0.0,0.0,MG_mg/l,0.28,1
2025-09-01,021-79146,Eurofins,new,0.0,0.0,MG_mg/l,0.28,1
2025-09-01,021-79147,Eurofins,new,0.0,0.0,K_mg/l,0.25,1
2025-09-01,021-79147,Eurofins,new,0.0,0.0,MG_mg/l,0.23,1
2025-07-28,021-79147,Eurofins,new,0.0,0.0,N-TOT_µg/l N,600.0,1
2025-07-28,021-86768,Eurofins,new,0.0,0.0,CL_mg/l,7.6,1
2025-07-28,021-86768,Eurofins,new,0.0,0.0,N-TOT_µg/l N,600.0,1
2025-07-07,021-86768,Eurofins,new,0.0,0.0,NA_mg/l,2.1,1
2025-07-15,022-32018,Eurofins,new,0.0,0.0,CA_mg/l,9.5,1
2025-08-04,022-32020,Eurofins,new,0.0,0.0,TOC_mg/l C,26.0,1
2025-07-28,022-44499,Eurofins,new,0.0,0.0,P-TOT_µg/l P,20.0,1
2025-09-04,022-44499,Eurofins,new,0.0,0.0,P-TOT_µg/l P,20.0,1
2025-09-01,022-97011,Eurofins,new,0.0,0.0,N-TOT_µg/l N,670.0,1
2025-07-28,022-97011,Eurofins,new,0.0,0.0,P-TOT_µg/l P,20.0,1
2025-09-01,022-97011,Eurofins,new,0.0,0.0,P-TOT_µg/l P,22.0,1
2025-08-06,023-58885,Eurofins,new,0.0,0.0,P-TOT_µg/l P,20.0,1
2025-07-28,023-58886,Eurofins,new,0.0,0.0,ALK_mmol/l,0.18,1
2025-07-28,023-58886,Eurofins,new,0.0,0.0,ANC_µekv/l,230.0,1
2025-07-28,023-58886,Eurofins,new,0.0,0.0,CA_mg/l,4.7,1
2025-08-06,023-58886,Eurofins,new,0.0,0.0,CA_mg/l,3.7,1
2025-09-01,023-58886,Eurofins,new,0.0,0.0,CA_mg/l,3.0,1
2025-07-28,023-58886,Eurofins,new,0.0,0.0,P-TOT_µg/l P,41.0,1
2025-07-28,023-58887,Eurofins,new,0.0,0.0,ALK_mmol/l,0.15,1
2025-07-28,023-58887,Eurofins,new,0.0,0.0,CA_mg/l,4.2,1
2025-09-01,023-58887,Eurofins,new,0.0,0.0,K_mg/l,0.76,1
2025-07-30,024-31985,Eurofins,new,0.0,0.0,CL_mg/l,9.0,1
2025-07-30,024-31985,Eurofins,new,0.0,0.0,N-TOT_µg/l N,640.0,1
2025-08-05,024-58894,Eurofins,new,0.0,0.0,P-TOT_µg/l P,50.0,1
2025-07-05,025-45779,Eurofins,new,0.0,0.0,P-TOT_µg/l P,23.0,1
2025-07-05,025-58892,Eurofins,new,0.0,0.0,CA_mg/l,4.1,1
2025-07-22,025-58892,Eurofins,new,0.0,0.0,CA_mg/l,4.1,1
2025-07-28,025-58892,Eurofins,new,0.0,0.0,CA_mg/l,4.9,1
2025-09-01,025-58892,Eurofins,new,0.0,0.0,CA_mg/l,3.5,1
2025-08-31,026-101039,Eurofins,new,0.0,0.0,ANC_µekv/l,-140.0,1
2025-07-07,026-101039,Eurofins,new,0.0,0.0,CA_mg/l,2.0,1
2025-08-31,026-101039,Eurofins,new,0.0,0.0,CL_mg/l,14.0,1
2025-07-07,026-101039,Eurofins,new,0.0,0.0,KOND_mS/m,4.62,1
2025-07-07,026-101039,Eurofins,new,0.0,0.0,K_mg/l,0.87,1
2025-07-07,026-101039,Eurofins,new,0.0,0.0,MG_mg/l,0.92,1
2025-07-07,026-101039,Eurofins,new,0.0,0.0,N-NO3_µg/l N,1200.0,1
2025-07-07,026-101039,Eurofins,new,0.0,0.0,N-TOT_µg/l N,1400.0,1
2025-07-07,026-101039,Eurofins,new,0.0,0.0,SO4_mg/l,2.73,1
2025-07-28,027-47666,Eurofins,new,0.0,0.0,N-TOT_µg/l N,620.0,1
2025-07-28,027-58828,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.9,1
2025-09-01,027-58828,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.2,1
2025-09-29,027-58847,Eurofins,new,0.0,0.0,CA_mg/l,4.0,1
2025-09-15,027-58848,Eurofins,new,0.0,0.0,CA_mg/l,3.8,1
2025-07-07,027-79279,Eurofins,new,0.0,0.0,P-TOT_µg/l P,30.0,1
2025-09-01,030-47471,Eurofins,new,0.0,0.0,TOC_mg/l C,18.0,1
2025-07-28,036-58753,Eurofins,new,0.0,0.0,KOND_mS/m,9.0,1
2025-07-28,036-58754,Eurofins,new,0.0,0.0,N-TOT_µg/l N,560.0,1
2025-07-28,036-58754,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.6,1
2025-08-04,036-58754,Eurofins,new,0.0,0.0,P-TOT_µg/l P,5.4,1
2025-07-28,036-58863,Eurofins,new,0.0,0.0,P-TOT_µg/l P,5.0,1
2025-08-04,036-58863,Eurofins,new,0.0,0.0,P-TOT_µg/l P,4.1,1
2025-09-01,036-58863,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.6,1
2025-09-22,036-58863,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.1,1
2025-09-01,038-44506,Eurofins,new,0.0,0.0,ANC_µekv/l,-150.0,1
2025-09-01,038-44506,Eurofins,new,0.0,0.0,CL_mg/l,11.0,1
2025-07-28,038-44506,Eurofins,new,0.0,0.0,N-TOT_µg/l N,560.0,1
2025-07-07,038-44506,Eurofins,new,0.0,0.0,NA_mg/l,4.2,1
2025-07-07,038-44506,Eurofins,new,0.0,0.0,SO4_mg/l,3.39,1
2025-07-28,038-47856,Eurofins,new,0.0,0.0,N-TOT_µg/l N,310.0,1
2025-07-28,038-47856,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.0,1
2025-09-29,038-47856,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.6,1
2025-08-04,038-58854,Eurofins,new,0.0,0.0,P-TOT_µg/l P,11.0,1
2025-09-29,038-58868,Eurofins,new,0.0,0.0,P-TOT_µg/l P,22.0,1
2025-08-05,045-58816,Eurofins,new,0.0,0.0,N-NO3_µg/l N,1200.0,1
2025-08-05,045-58816,Eurofins,new,0.0,0.0,N-TOT_µg/l N,1400.0,1
2025-08-05,045-58816,Eurofins,new,0.0,0.0,P-TOT_µg/l P,100.0,1
2025-08-05,045-58817,Eurofins,new,0.0,0.0,P-TOT_µg/l P,46.0,1
2025-08-05,045-58817,Eurofins,new,0.0,0.0,TOC_mg/l C,6.2,1
2025-09-01,062-58818,Eurofins,new,0.0,0.0,ANC_µekv/l,-94.0,1
2025-07-28,063-58806,Eurofins,new,0.0,0.0,P-TOT_µg/l P,25.0,1
2025-07-28,064-28997,Eurofins,new,0.0,0.0,N-TOT_µg/l N,450.0,1
2025-07-28,064-28997,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.3,1
2025-09-01,064-28997,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.3,1
2025-07-28,064-81557,Eurofins,new,0.0,0.0,ANC_µekv/l,-200.0,1
2025-07-28,064-81557,Eurofins,new,0.0,0.0,CL_mg/l,8.6,1
2025-07-28,064-81557,Eurofins,new,0.0,0.0,P-TOT_µg/l P,3.0,1
2025-07-28,064-82800,Eurofins,new,0.0,0.0,N-TOT_µg/l N,620.0,1
2025-07-28,064-82800,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.7,1
2025-09-01,064-82800,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.9,1
2025-08-04,067-82877,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.6,1
2025-09-15,079-58879,Eurofins,new,0.0,0.0,PH_<ubenevnt>,7.1,1
2025-07-28,082-58872,Eurofins,new,0.0,0.0,CA_mg/l,2.0,1
