vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
002-105961,2025-08-25,Eurofins,new,0.0,0.0,6.0,6.9,outlier
002-105961,2025-09-01,Eurofins,new,0.0,0.0,5.9,6.9,outlier
02.01-58890,2025-07-22,Eurofins,new,0.0,0.0,3.4,7.4,outlier
021-101027,2025-07-14,Eurofins,new,0.0,0.0,5.9,7.1,outlier
021-101027,2025-08-27,Eurofins,new,0.0,0.0,6.1,7.0,outlier
021-28450,2025-07-14,Eurofins,new,0.0,0.0,16.0,6.9,outlier
021-28450,2025-07-31,Eurofins,new,0.0,0.0,11.0,6.8,outlier
021-28450,2025-08-11,Eurofins,new,0.0,0.0,6.4,6.8,outlier
021-28450,2025-08-27,Eurofins,new,0.0,0.0,17.0,6.7,outlier
022-32018,2025-07-15,Eurofins,new,0.0,0.0,9.5,7.4,outlier
022-32018,2025-07-28,Eurofins,new,0.0,0.0,5.4,7.1,outlier
022-32019,2025-07-28,Eurofins,new,0.0,0.0,4.3,7.1,outlier
022-32019,2025-08-04,Eurofins,new,0.0,0.0,5.1,7.1,outlier
022-32020,2025-07-28,Eurofins,new,0.0,0.0,4.7,7.1,outlier
022-45769,2025-08-25,Eurofins,new,0.0,0.0,6.3,6.4,outlier
025-58892,2025-07-28,Eurofins,new,0.0,0.0,4.9,7.2,outlier
027-79278,2025-07-28,Eurofins,new,0.0,0.0,5.3,7.2,outlier
027-79278,2025-08-04,Eurofins,new,0.0,0.0,5.5,7.1,outlier
036-86020,2025-07-28,Eurofins,new,0.0,0.0,4.1,7.2,outlier
