vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
021-28450,2022-04-07,Eurofins,new,0.0,0.0,6.3,6.6,outlier
021-28450,2022-04-12,Eurofins,new,0.0,0.0,7.4,6.6,outlier
021-28450,2022-04-28,Eurofins,new,0.0,0.0,9.9,6.8,outlier
021-28450,2022-05-12,Eurofins,new,0.0,0.0,7.8,6.7,outlier
021-28450,2022-05-19,Eurofins,new,0.0,0.0,9.6,6.8,outlier
021-28450,2022-05-24,Eurofins,new,0.0,0.0,8.2,6.8,outlier
021-28450,2022-06-07,Eurofins,new,0.0,0.0,6.7,6.6,outlier
021-28450,2022-06-09,Eurofins,new,0.0,0.0,10.0,6.7,outlier
022-32020,2022-05-30,Eurofins,new,0.0,0.0,4.8,7.0,outlier
022-45769,2022-05-04,Eurofins,new,0.0,0.0,6.5,6.5,outlier
022-45769,2022-05-10,Eurofins,new,0.0,0.0,6.4,6.6,outlier
022-58904,2022-05-16,Eurofins,new,0.0,0.0,5.0,7.1,outlier
024-58894,2022-05-04,Eurofins,new,0.0,0.0,5.5,7.2,outlier
027-58846,2022-05-10,Eurofins,new,0.0,0.0,6.5,8.9,outlier
027-79278,2022-05-04,Eurofins,new,0.0,0.0,5.2,7.1,outlier
027-79278,2022-06-08,Eurofins,new,0.0,0.0,4.3,7.1,outlier
030-58837,2022-05-10,Eurofins,new,0.0,0.0,11.0,9.0,outlier
