sample_date,vannmiljo_code,lab,period,depth1,depth2,par,value,outlier
2025-01-13,020-45060,Eurofins,new,0.0,0.0,CA_mg/l,2.3,1
2025-01-27,021-101031,Eurofins,new,0.0,0.0,CL_mg/l,4.0,1
2025-01-27,021-101031,Eurofins,new,0.0,0.0,MG_mg/l,0.36,1
2025-01-27,021-101031,Eurofins,new,0.0,0.0,NA_mg/l,1.9,1
2025-01-27,021-32115,Eurofins,new,0.0,0.0,CL_mg/l,6.8,1
2025-01-27,021-46388,Eurofins,new,0.0,0.0,CL_mg/l,10.0,1
2025-02-03,021-46388,Eurofins,new,0.0,0.0,CL_mg/l,7.2,1
2025-02-24,021-46388,Eurofins,new,0.0,0.0,CL_mg/l,6.3,1
2025-01-27,021-46388,Eurofins,new,0.0,0.0,KOND_mS/m,4.66,1
2025-02-03,021-46388,Eurofins,new,0.0,0.0,KOND_mS/m,3.27,1
2025-02-24,021-46388,Eurofins,new,0.0,0.0,KOND_mS/m,3.45,1
2025-02-24,021-46388,Eurofins,new,0.0,0.0,K_mg/l,0.23,1
2025-01-27,021-46388,Eurofins,new,0.0,0.0,MG_mg/l,0.71,1
2025-02-03,021-46388,Eurofins,new,0.0,0.0,MG_mg/l,0.47,1
2025-02-24,021-46388,Eurofins,new,0.0,0.0,MG_mg/l,0.4,1
2025-01-27,021-46388,Eurofins,new,0.0,0.0,NA_mg/l,4.8,1
2025-02-03,021-46388,Eurofins,new,0.0,0.0,NA_mg/l,3.2,1
2025-02-24,021-46388,Eurofins,new,0.0,0.0,NA_mg/l,2.8,1
2025-02-03,021-79146,Eurofins,new,0.0,0.0,CL_mg/l,6.4,1
2025-01-27,021-79146,Eurofins,new,0.0,0.0,MG_mg/l,0.27,1
2025-02-03,021-79146,Eurofins,new,0.0,0.0,MG_mg/l,0.36,1
2025-02-24,021-79146,Eurofins,new,0.0,0.0,MG_mg/l,0.41,1
2025-01-27,021-79147,Eurofins,new,0.0,0.0,CL_mg/l,5.2,1
2025-02-03,021-79147,Eurofins,new,0.0,0.0,CL_mg/l,3.7,1
2025-02-24,021-79147,Eurofins,new,0.0,0.0,CL_mg/l,4.5,1
2025-01-27,021-79147,Eurofins,new,0.0,0.0,KOND_mS/m,2.72,1
2025-01-27,021-79147,Eurofins,new,0.0,0.0,MG_mg/l,0.38,1
2025-02-03,021-79147,Eurofins,new,0.0,0.0,MG_mg/l,0.27,1
2025-02-24,021-79147,Eurofins,new,0.0,0.0,MG_mg/l,0.31,1
2025-01-27,021-79147,Eurofins,new,0.0,0.0,NA_mg/l,2.5,1
2025-01-27,021-86500,Eurofins,new,0.0,0.0,CL_mg/l,7.5,1
2025-02-24,021-86500,Eurofins,new,0.0,0.0,CL_mg/l,6.1,1
2025-01-27,021-86500,Eurofins,new,0.0,0.0,KOND_mS/m,3.4,1
2025-01-27,021-86500,Eurofins,new,0.0,0.0,MG_mg/l,0.51,1
2025-02-03,021-86500,Eurofins,new,0.0,0.0,MG_mg/l,0.36,1
2025-02-24,021-86500,Eurofins,new,0.0,0.0,MG_mg/l,0.41,1
2025-01-27,021-86500,Eurofins,new,0.0,0.0,NA_mg/l,3.6,1
2025-02-03,021-86500,Eurofins,new,0.0,0.0,NA_mg/l,2.4,1
2025-02-24,021-86500,Eurofins,new,0.0,0.0,NA_mg/l,2.6,1
2025-01-27,021-86768,Eurofins,new,0.0,0.0,CL_mg/l,4.5,1
2025-02-03,021-86768,Eurofins,new,0.0,0.0,CL_mg/l,5.4,1
2025-02-24,021-86768,Eurofins,new,0.0,0.0,CL_mg/l,5.9,1
2025-01-27,021-86768,Eurofins,new,0.0,0.0,MG_mg/l,0.37,1
2025-02-03,021-86768,Eurofins,new,0.0,0.0,MG_mg/l,0.39,1
2025-02-24,021-86768,Eurofins,new,0.0,0.0,MG_mg/l,0.43,1
2025-01-27,021-86768,Eurofins,new,0.0,0.0,NA_mg/l,2.3,1
2025-02-03,021-86768,Eurofins,new,0.0,0.0,NA_mg/l,2.5,1
2025-02-24,021-86768,Eurofins,new,0.0,0.0,NA_mg/l,2.6,1
2025-02-24,022-58899,Eurofins,new,0.0,0.0,KOND_mS/m,3.18,1
2025-02-27,023-45835,Eurofins,new,0.0,0.0,MG_mg/l,0.6,1
2025-02-05,023-58889,Eurofins,new,0.0,0.0,KOND_mS/m,6.16,1
2025-01-28,024-31985,Eurofins,new,0.0,0.0,CL_mg/l,12.0,1
2025-01-28,024-31985,Eurofins,new,0.0,0.0,KOND_mS/m,4.94,1
2025-01-28,024-31985,Eurofins,new,0.0,0.0,MG_mg/l,0.79,1
2025-01-28,024-31985,Eurofins,new,0.0,0.0,NA_mg/l,5.2,1
2025-01-09,024-58894,Eurofins,new,0.0,0.0,P-TOT_µg/l P,45.0,1
2025-01-27,025-45779,Eurofins,new,0.0,0.0,CA_mg/l,1.2,1
2025-01-27,025-45779,Eurofins,new,0.0,0.0,CL_mg/l,19.0,1
2025-02-24,025-45779,Eurofins,new,0.0,0.0,CL_mg/l,9.6,1
2025-01-27,025-45779,Eurofins,new,0.0,0.0,KOND_mS/m,8.38,1
2025-01-27,025-45779,Eurofins,new,0.0,0.0,MG_mg/l,1.3,1
2025-02-24,025-45779,Eurofins,new,0.0,0.0,MG_mg/l,0.62,1
2025-03-10,025-45779,Eurofins,new,0.0,0.0,MG_mg/l,0.53,1
2025-01-27,025-45779,Eurofins,new,0.0,0.0,NA_mg/l,8.6,1
2025-01-27,025-45779,Eurofins,new,0.0,0.0,SO4_mg/l,2.48,1
2025-01-27,025-81555,Eurofins,new,0.0,0.0,CA_mg/l,1.2,1
2025-01-27,025-81555,Eurofins,new,0.0,0.0,CL_mg/l,15.0,1
2025-01-27,025-81555,Eurofins,new,0.0,0.0,KOND_mS/m,6.52,1
2025-02-24,025-81555,Eurofins,new,0.0,0.0,KOND_mS/m,5.06,1
2025-01-27,025-81555,Eurofins,new,0.0,0.0,MG_mg/l,1.1,1
2025-02-24,025-81555,Eurofins,new,0.0,0.0,MG_mg/l,0.72,1
2025-03-10,025-81555,Eurofins,new,0.0,0.0,MG_mg/l,0.58,1
2025-01-27,025-81555,Eurofins,new,0.0,0.0,NA_mg/l,7.0,1
2025-01-27,027-58828,Eurofins,new,0.0,0.0,CA_mg/l,0.79,1
2025-01-27,027-58828,Eurofins,new,0.0,0.0,CL_mg/l,12.0,1
2025-01-27,027-58828,Eurofins,new,0.0,0.0,MG_mg/l,0.94,1
2025-01-27,027-58828,Eurofins,new,0.0,0.0,NA_mg/l,5.9,1
2025-02-24,027-58828,Eurofins,new,0.0,0.0,NA_mg/l,5.3,1
2025-01-06,027-58828,Eurofins,new,0.0,0.0,P-TOT_µg/l P,2.5,1
2025-01-27,027-58829,Eurofins,new,0.0,0.0,ALK_mmol/l,0.43,1
2025-01-27,027-58829,Eurofins,new,0.0,0.0,CA_mg/l,3.2,1
2025-01-27,027-58829,Eurofins,new,0.0,0.0,CL_mg/l,35.0,1
2025-01-27,027-58829,Eurofins,new,0.0,0.0,KOND_mS/m,13.1,1
2025-01-27,027-58829,Eurofins,new,0.0,0.0,K_mg/l,0.53,1
2025-01-27,027-58829,Eurofins,new,0.0,0.0,MG_mg/l,2.7,1
2025-01-27,027-58829,Eurofins,new,0.0,0.0,NA_mg/l,15.0,1
2025-01-27,027-58829,Eurofins,new,0.0,0.0,SO4_mg/l,4.03,1
2025-02-17,027-58848,Eurofins,new,0.0,0.0,CA_mg/l,2.9,1
2025-01-27,027-79280,Eurofins,new,0.0,0.0,MG_mg/l,1.1,1
2025-02-24,027-79280,Eurofins,new,0.0,0.0,P-TOT_µg/l P,45.0,1
2025-01-27,027-90733,Eurofins,new,0.0,0.0,P-TOT_µg/l P,41.0,1
2025-01-27,030-47471,Eurofins,new,0.0,0.0,KOND_mS/m,5.67,1
2025-02-24,030-47471,Eurofins,new,0.0,0.0,KOND_mS/m,5.82,1
2025-03-10,030-58764,Eurofins,new,0.0,0.0,CA_mg/l,4.4,1
2025-02-17,030-58835,Eurofins,new,0.0,0.0,CA_mg/l,50.0,1
2025-02-04,030-58837,Eurofins,new,0.0,0.0,CL_mg/l,17.0,1
2025-02-04,030-58837,Eurofins,new,0.0,0.0,KOND_mS/m,7.08,1
2025-02-04,030-58837,Eurofins,new,0.0,0.0,MG_mg/l,1.4,1
2025-02-04,030-58837,Eurofins,new,0.0,0.0,NA_mg/l,8.9,1
2025-01-06,030-58838,Eurofins,new,0.0,0.0,ANC_µekv/l,5700.0,1
2025-01-06,030-58838,Eurofins,new,0.0,0.0,CA_mg/l,22.0,1
