vannmiljo_code,month,new,his_min,his_median,his_max
021-29246,2,1.0,2.0,2.0,2.0
021-45780,2,1.0,2.0,2.0,2.0
022-97011,1,1.0,3.0,3.0,3.0
022-97011,2,2.0,4.0,4.0,4.0
027-58831,2,2.0,3.0,4.0,4.0
030-58762,3,3.0,4.0,4.0,5.0
030-58764,3,3.0,4.0,4.0,5.0
030-58765,3,3.0,4.0,4.0,5.0
030-58837,3,3.0,4.0,4.0,5.0
030-58838,3,3.0,4.0,4.0,5.0
036-58863,2,1.0,2.0,4.0,4.0
038-58854,2,2.0,4.0,4.0,4.0
062-58818,1,1.0,2.0,2.0,3.0
064-28997,2,3.0,4.0,4.0,4.0
064-81557,2,3.0,4.0,4.0,4.0
064-82800,2,3.0,4.0,4.0,4.0
082-50557,2,1.0,3.0,3.0,4.0
082-58872,2,1.0,2.0,3.0,3.0
082-58876,2,1.0,3.0,3.0,4.0
082-81553,2,1.0,3.0,3.0,4.0
082-81554,2,1.0,3.0,3.0,4.0
