vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value,period
002-105961,2025-03-24,Eurofins,0.0,0.0,CA_mg/l,nan,2.4,new
002-105961,2025-03-24,Eurofins,0.0,0.0,CA_mg/l,nan,2.4,new
002-105961,2025-03-24,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.7,new
002-105961,2025-03-24,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.8,new
002-105961,2025-03-24,Eurofins,0.0,0.0,TEMP_°C,nan,5.0,new
002-105961,2025-03-24,Eurofins,0.0,0.0,TEMP_°C,nan,5.0,new
002-58799,2025-03-24,Eurofins,0.0,0.0,CA_mg/l,nan,2.1,new
002-58799,2025-03-24,Eurofins,0.0,0.0,CA_mg/l,nan,2.1,new
002-58799,2025-03-24,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.5,new
002-58799,2025-03-24,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.5,new
002-58799,2025-03-24,Eurofins,0.0,0.0,TEMP_°C,nan,5.0,new
002-58799,2025-03-24,Eurofins,0.0,0.0,TEMP_°C,nan,5.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,ALK_mmol/l,<,0.03,new
021-101031,2025-02-24,Eurofins,0.0,0.0,ALK_mmol/l,nan,0.03,new
021-101031,2025-02-24,Eurofins,0.0,0.0,ANC_µekv/l,nan,41.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,ANC_µekv/l,nan,33.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,CA_mg/l,nan,0.96,new
021-101031,2025-02-24,Eurofins,0.0,0.0,CA_mg/l,nan,0.87,new
021-101031,2025-02-24,Eurofins,0.0,0.0,CL_mg/l,nan,2.6,new
021-101031,2025-02-24,Eurofins,0.0,0.0,CL_mg/l,nan,2.7,new
021-101031,2025-02-24,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,33.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,42.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,KOND_mS/m,nan,1.62,new
021-101031,2025-02-24,Eurofins,0.0,0.0,KOND_mS/m,nan,1.63,new
021-101031,2025-02-24,Eurofins,0.0,0.0,K_mg/l,nan,0.17,new
021-101031,2025-02-24,Eurofins,0.0,0.0,K_mg/l,nan,0.17,new
021-101031,2025-02-24,Eurofins,0.0,0.0,LAL_µg/l Al,nan,16.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,LAL_µg/l Al,nan,10.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,MG_mg/l,nan,0.25,new
021-101031,2025-02-24,Eurofins,0.0,0.0,MG_mg/l,nan,0.25,new
021-101031,2025-02-24,Eurofins,0.0,0.0,N-NO3_µg/l N,nan,74.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,N-NO3_µg/l N,nan,72.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,N-TOT_µg/l N,nan,140.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,N-TOT_µg/l N,nan,140.0,new
021-101031,2025-02-24,Eurofins,0.0,0.0,NA_mg/l,nan,1.4,new
021-101031,2025-02-24,Eurofins,0.0,0.0,NA_mg/l,nan,1.4,new
