vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value,period
022-32019,2022-07-26,Eurofins,0.0,0.0,CA_mg/l,nan,4.4,new
022-32019,2022-07-26,Eurofins,0.0,0.0,CA_mg/l,nan,3.1,new
022-32019,2022-07-26,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,6.8,new
022-32019,2022-07-26,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,19.0,new
022-32019,2022-07-26,Eurofins,0.0,0.0,KOND_mS/m,nan,5.91,new
022-32019,2022-07-26,Eurofins,0.0,0.0,KOND_mS/m,nan,4.5,new
022-32019,2022-07-26,Eurofins,0.0,0.0,LAL_µg/l Al,nan,1.7999999999999998,new
022-32019,2022-07-26,Eurofins,0.0,0.0,LAL_µg/l Al,nan,2.0,new
022-32019,2022-07-26,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.8,new
022-32019,2022-07-26,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.8,new
022-32019,2022-07-26,Eurofins,0.0,0.0,RAL_µg/l Al,nan,8.6,new
022-32019,2022-07-26,Eurofins,0.0,0.0,RAL_µg/l Al,nan,21.0,new
022-32019,2022-07-26,Eurofins,0.0,0.0,TOC_mg/l C,nan,3.5,new
022-32019,2022-07-26,Eurofins,0.0,0.0,TOC_mg/l C,nan,5.9,new
032-58839,2022-09-06,Eurofins,0.0,0.0,ALK_mmol/l,<,0.03,new
032-58839,2022-09-06,Eurofins,0.0,0.0,ALK_mmol/l,<,0.03,new
032-58839,2022-09-06,Eurofins,0.0,0.0,ANC_µekv/l,nan,30.0,new
032-58839,2022-09-06,Eurofins,0.0,0.0,ANC_µekv/l,nan,27.0,new
032-58839,2022-09-06,Eurofins,0.0,0.0,CA_mg/l,nan,0.57,new
032-58839,2022-09-06,Eurofins,0.0,0.0,CA_mg/l,nan,0.57,new
032-58839,2022-09-06,Eurofins,0.0,0.0,CL_mg/l,nan,4.6,new
032-58839,2022-09-06,Eurofins,0.0,0.0,CL_mg/l,nan,4.7,new
032-58839,2022-09-06,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,30.0,new
032-58839,2022-09-06,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,28.0,new
032-58839,2022-09-06,Eurofins,0.0,0.0,KOND_mS/m,nan,2.21,new
032-58839,2022-09-06,Eurofins,0.0,0.0,KOND_mS/m,nan,2.2,new
032-58839,2022-09-06,Eurofins,0.0,0.0,K_mg/l,nan,0.18,new
032-58839,2022-09-06,Eurofins,0.0,0.0,K_mg/l,nan,0.16,new
032-58839,2022-09-06,Eurofins,0.0,0.0,LAL_µg/l Al,nan,7.0,new
032-58839,2022-09-06,Eurofins,0.0,0.0,LAL_µg/l Al,nan,8.0,new
032-58839,2022-09-06,Eurofins,0.0,0.0,MG_mg/l,nan,0.32,new
032-58839,2022-09-06,Eurofins,0.0,0.0,MG_mg/l,nan,0.32,new
032-58839,2022-09-06,Eurofins,0.0,0.0,N-NO3_µg/l N,nan,78.0,new
032-58839,2022-09-06,Eurofins,0.0,0.0,N-NO3_µg/l N,nan,78.0,new
032-58839,2022-09-06,Eurofins,0.0,0.0,N-TOT_µg/l N,nan,230.0,new
