vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
021-28450,2022-07-08,Eurofins,new,0.0,0.0,7.7,6.7,outlier
021-28450,2022-07-28,Eurofins,new,0.0,0.0,7.6,6.8,outlier
021-28450,2022-08-17,Eurofins,new,0.0,0.0,12.0,6.8,outlier
021-28450,2022-09-09,Eurofins,new,0.0,0.0,8.6,6.6,outlier
021-46373,2022-07-05,Eurofins,new,0.0,0.0,6.1,7.2,outlier
021-46373,2022-07-19,Eurofins,new,0.0,0.0,7.9,7.4,outlier
021-46373,2022-08-11,Eurofins,new,0.0,0.0,7.4,7.4,outlier
022-32018,2022-09-23,Eurofins,new,0.0,0.0,9.6,7.5,outlier
022-32019,2022-08-01,Eurofins,new,0.0,0.0,5.4,7.0,outlier
022-32019,2022-09-23,Eurofins,new,0.0,0.0,7.4,6.9,outlier
022-32020,2022-07-04,Eurofins,new,0.0,0.0,7.4,6.8,outlier
022-32020,2022-07-22,Eurofins,new,0.0,0.0,6.0,7.0,outlier
022-32020,2022-07-26,Eurofins,new,0.0,0.0,6.2,6.8,outlier
022-32020,2022-08-01,Eurofins,new,0.0,0.0,6.5,6.7,outlier
022-45769,2022-07-19,Eurofins,new,0.0,0.0,6.5,6.6,outlier
022-45769,2022-08-17,Eurofins,new,0.0,0.0,5.9,6.5,outlier
022-45769,2022-08-29,Eurofins,new,0.0,0.0,5.7,6.5,outlier
022-58904,2022-07-04,Eurofins,new,0.0,0.0,6.0,6.7,outlier
022-58904,2022-07-22,Eurofins,new,0.0,0.0,5.7,6.8,outlier
022-58904,2022-07-26,Eurofins,new,0.0,0.0,5.4,6.8,outlier
022-58904,2022-08-01,Eurofins,new,0.0,0.0,5.6,6.8,outlier
022-58904,2022-09-29,Eurofins,new,0.0,0.0,5.8,6.8,outlier
027-79278,2022-07-05,Eurofins,new,0.0,0.0,4.8,7.1,outlier
027-79278,2022-08-02,Eurofins,new,0.0,0.0,4.9,7.2,outlier
030-58838,2022-08-16,Eurofins,new,0.0,0.0,7.3,6.2,outlier
030-58838,2022-08-30,Eurofins,new,0.0,0.0,5.6,6.4,outlier
036-58751,2022-09-07,Eurofins,new,0.0,0.0,11.0,7.9,outlier
079-58878,2022-09-13,Eurofins,new,0.0,0.0,6.6,6.2,outlier
082-58870,2022-09-06,Eurofins,new,0.0,0.0,10.0,7.3,outlier
