vannmiljo_code,month,new,his_min,his_median,his_max
019-28921,4,4.0,5.0,5.0,5.0
020-79149,4,1.0,3.0,4.0,4.0
021-45780,4,1.0,2.0,2.0,2.0
022-32018,5,2.0,4.0,4.5,5.0
022-32019,5,2.0,4.0,4.5,6.0
022-32020,5,2.0,4.0,4.5,5.0
027-58846,4,2.0,3.0,4.0,5.0
027-58847,4,2.0,3.0,4.0,5.0
027-58850,4,2.0,3.0,4.0,5.0
036-47959,4,4.0,5.0,5.0,5.0
036-58863,4,1.0,4.0,4.0,5.0
036-58863,5,1.0,3.0,4.0,5.0
036-58863,6,1.0,2.0,2.0,3.0
036-86020,4,4.0,5.0,5.0,5.0
038-58854,4,3.0,5.0,5.0,5.0
038-88032,4,4.0,5.0,5.0,5.0
082-81554,4,3.0,4.0,4.5,5.0
