vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,CA_mg/l,nan,0.95
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,CA_mg/l,nan,1.2
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,100.0
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,47.0
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,KOND_mS/m,nan,2.16
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,KOND_mS/m,nan,1.53
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,LAL_µg/l Al,nan,50.0
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,LAL_µg/l Al,nan,25.0
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.4
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,RAL_µg/l Al,nan,150.0
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,RAL_µg/l Al,nan,72.0
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,TOC_mg/l C,nan,9.7
019-28921,2021-10-06 07:10:30,Eurofins,0.0,0.0,TOC_mg/l C,nan,5.8
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,ALK_mmol/l,nan,0.02
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,ALK_mmol/l,nan,0.018
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,ANC_µekv/l,nan,38.0
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,ANC_µekv/l,nan,36.0
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,CA_mg/l,nan,0.8
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,CA_mg/l,nan,0.78
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,CL_mg/l,nan,1.6
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,CL_mg/l,nan,1.6
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,36.0
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,36.0
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,KOND_mS/m,nan,1.27
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,KOND_mS/m,nan,1.26
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,K_mg/l,nan,0.22
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,K_mg/l,nan,0.21
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,17.0
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,LAL_µg/l Al,nan,20.0
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,MG_mg/l,nan,0.19
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,MG_mg/l,nan,0.18
021-101031,2021-10-05 07:10:00,Eurofins,0.0,0.0,N-NO3_µg/l N,nan,37.0
