vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
020-79149,2023-06-04,Eurofins,new,0.0,0.0,4.8,7.2,outlier
021-101027,2023-06-19,Eurofins,new,0.0,0.0,5.5,7.1,outlier
021-28450,2023-05-26,Eurofins,new,0.0,0.0,6.9,7.0,outlier
021-28450,2023-05-29,Eurofins,new,0.0,0.0,8.6,7.0,outlier
021-28450,2023-06-05,Eurofins,new,0.0,0.0,11.0,6.9,outlier
021-28450,2023-06-19,Eurofins,new,0.0,0.0,16.0,7.1,outlier
022-32018,2023-05-08,Eurofins,new,0.0,0.0,6.9,7.3,outlier
022-32018,2023-05-30,Eurofins,new,0.0,0.0,8.8,7.4,outlier
022-32018,2023-06-05,Eurofins,new,0.0,0.0,12.0,7.2,outlier
022-32018,2023-06-12,Eurofins,new,0.0,0.0,13.0,7.6,outlier
022-32019,2023-05-22,Eurofins,new,0.0,0.0,6.4,7.1,outlier
022-32019,2023-06-05,Eurofins,new,0.0,0.0,5.9,7.0,outlier
022-32019,2023-06-12,Eurofins,new,0.0,0.0,12.0,7.3,outlier
022-32020,2023-05-30,Eurofins,new,0.0,0.0,5.7,6.9,outlier
022-45769,2023-06-19,Eurofins,new,0.0,0.0,7.9,6.4,outlier
022-58904,2023-04-17,Eurofins,new,0.0,0.0,7.0,7.0,outlier
022-58904,2023-04-24,Eurofins,new,0.0,0.0,7.0,6.9,outlier
022-58904,2023-05-03,Eurofins,new,0.0,0.0,5.7,7.1,outlier
022-58904,2023-06-05,Eurofins,new,0.0,0.0,13.0,7.5,outlier
022-58904,2023-06-12,Eurofins,new,0.0,0.0,6.2,7.0,outlier
022-58904,2023-06-19,Eurofins,new,0.0,0.0,6.6,6.9,outlier
027-58850,2023-06-05,Eurofins,new,0.0,0.0,5.8,7.2,outlier
027-58850,2023-06-19,Eurofins,new,0.0,0.0,6.2,7.3,outlier
027-79278,2023-06-05,Eurofins,new,0.0,0.0,5.8,7.2,outlier
030-58838,2023-05-01,Eurofins,new,0.0,0.0,5.6,6.3,outlier
061-58800,2023-04-17,Eurofins,new,0.0,0.0,6.0,7.0,outlier
