vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
020-79149,2021-07-06 07:05:29,Eurofins,new,0.0,0.0,4.9,7.2,outlier
020-79149,2021-08-04 07:30:22,Eurofins,new,0.0,0.0,4.5,7.2,outlier
020-79149,2021-09-07 07:10:17,Eurofins,new,0.0,0.0,6.5,7.3,outlier
021-28450,2021-07-07 07:05:18,Eurofins,new,0.0,0.0,6.7,6.9,outlier
021-28450,2021-09-03 07:00:32,Eurofins,new,0.0,0.0,9.0,6.8,outlier
021-28450,2021-09-15 07:15:50,Eurofins,new,0.0,0.0,9.4,6.9,outlier
021-28450,2021-09-24 07:00:18,Eurofins,new,0.0,0.0,10.0,6.8,outlier
022-32018,2021-09-17 07:00:15,Eurofins,new,0.0,0.0,4.4,7.2,outlier
022-32019,2021-09-17 07:00:15,Eurofins,new,0.0,0.0,4.7,7.1,outlier
022-32020,2021-09-17 07:00:15,Eurofins,new,0.0,0.0,6.7,6.9,outlier
027-58850,2021-09-07 07:10:49,Eurofins,new,0.0,0.0,4.1,7.2,outlier
027-79278,2021-07-07 07:05:18,Eurofins,new,0.0,0.0,4.2,7.2,outlier
027-79278,2021-09-07 07:10:00,Eurofins,new,0.0,0.0,4.5,7.2,outlier
036-86020,2021-09-07 07:10:49,Eurofins,new,0.0,0.0,4.6,7.2,outlier
079-58878,2021-08-04 07:30:22,Eurofins,new,0.0,0.0,11.0,6.4,outlier
079-58878,2021-08-24 07:10:27,Eurofins,new,0.0,0.0,8.0,6.5,outlier
079-58878,2021-08-31 07:15:03,Eurofins,new,0.0,0.0,8.5,6.3,outlier
