vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value,period
021-101031,2022-10-18,Eurofins,0.0,0.0,CA_mg/l,nan,1.2,new
021-101031,2022-10-18,Eurofins,0.0,0.0,CA_mg/l,nan,1.0,new
021-101031,2022-10-18,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9,new
021-101031,2022-10-18,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9,new
021-101031,2022-10-18,Eurofins,0.0,0.0,TEMP_°C,nan,9.2,new
021-101031,2022-10-18,Eurofins,0.0,0.0,TEMP_°C,nan,9.2,new
021-32115,2022-10-18,Eurofins,0.0,0.0,CA_mg/l,nan,1.4,new
021-32115,2022-10-18,Eurofins,0.0,0.0,CA_mg/l,nan,1.4,new
021-32115,2022-10-18,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.8,new
021-32115,2022-10-18,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9,new
021-32115,2022-10-18,Eurofins,0.0,0.0,TEMP_°C,nan,7.4,new
021-32115,2022-10-18,Eurofins,0.0,0.0,TEMP_°C,nan,7.4,new
030-58764,2022-10-04,Eurofins,0.0,0.0,CA_mg/l,nan,0.68,new
030-58764,2022-10-04,Eurofins,0.0,0.0,CA_mg/l,nan,0.51,new
030-58764,2022-10-04,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.4,new
030-58764,2022-10-04,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.6,new
030-58764,2022-10-18,Eurofins,0.0,0.0,CA_mg/l,nan,0.59,new
030-58764,2022-10-18,Eurofins,0.0,0.0,CA_mg/l,nan,0.37,new
030-58764,2022-10-18,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.0,new
030-58764,2022-10-18,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.8,new
030-58764,2022-11-02,Eurofins,0.0,0.0,CA_mg/l,nan,1.0,new
030-58764,2022-11-02,Eurofins,0.0,0.0,CA_mg/l,nan,0.23,new
030-58764,2022-11-02,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.8,new
030-58764,2022-11-02,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.6,new
030-58764,2022-11-15,Eurofins,0.0,0.0,CA_mg/l,nan,0.22,new
030-58764,2022-11-15,Eurofins,0.0,0.0,CA_mg/l,nan,0.73,new
030-58764,2022-11-15,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.7,new
030-58764,2022-11-15,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.3,new
030-58764,2022-11-29,Eurofins,0.0,0.0,CA_mg/l,nan,0.65,new
030-58764,2022-11-29,Eurofins,0.0,0.0,CA_mg/l,nan,0.38,new
030-58764,2022-11-29,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.0,new
030-58764,2022-11-29,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9,new
030-58764,2022-12-06,Eurofins,0.0,0.0,CA_mg/l,nan,1.4,new
030-58764,2022-12-06,Eurofins,0.0,0.0,CA_mg/l,nan,0.25,new
030-58764,2022-12-06,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.8,new
030-58764,2022-12-06,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.5,new
030-58764,2022-12-20,Eurofins,0.0,0.0,CA_mg/l,nan,1.6,new
030-58764,2022-12-20,Eurofins,0.0,0.0,CA_mg/l,nan,0.44,new
030-58764,2022-12-20,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.4,new
030-58764,2022-12-20,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1,new
