vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value,period
018-32152,2020-09-07,Eurofins (historic),0.0,0.0,K_mg/l,=,12.0,historic
018-32152,2020-09-07,Eurofins (historic),0.0,0.0,K_mg/l,=,0.12,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,ANC_µekv/l,=,33.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,ANC_µekv/l,=,40.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,CA_mg/l,=,0.9,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,CA_mg/l,=,0.87,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,CL_mg/l,=,2.1,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,CL_mg/l,=,2.1,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,ILAL_µg/l Al,=,44.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,ILAL_µg/l Al,=,43.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,KOND_mS/m,=,1.72,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,KOND_mS/m,=,1.72,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,K_mg/l,=,0.21,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,K_mg/l,=,0.22,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,MG_mg/l,=,0.27,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,MG_mg/l,=,0.27,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,N-NO3_µg/l N,=,130.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,N-NO3_µg/l N,=,140.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,N-TOT_µg/l N,=,320.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,N-TOT_µg/l N,=,230.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,NA_mg/l,=,1.4,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,NA_mg/l,=,1.3,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,P-TOT_µg/l P,<,2.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,P-TOT_µg/l P,<,2.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,PH_<ubenevnt>,=,6.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,PH_<ubenevnt>,=,6.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,RAL_µg/l Al,=,62.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,RAL_µg/l Al,=,61.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,SO4_mg/l,=,1.25,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,SO4_mg/l,=,1.17,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,TEMP_°C,=,6.5,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,TEMP_°C,=,6.5,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,TOC_mg/l C,=,4.0,historic
018-32155,2020-11-28,Eurofins (historic),0.0,0.0,TOC_mg/l C,=,4.1,historic
018-32155,2022-01-28,Eurofins (historic),0.0,0.0,ANC_µekv/l,=,56.0,historic
018-32155,2022-01-28,Eurofins (historic),0.0,0.0,ANC_µekv/l,=,55.0,historic
018-32155,2022-01-28,Eurofins (historic),0.0,0.0,CA_mg/l,=,1.0,historic
018-32155,2022-01-28,Eurofins (historic),0.0,0.0,CA_mg/l,=,0.97,historic
018-32155,2022-01-28,Eurofins (historic),0.0,0.0,CL_mg/l,=,2.4,historic
018-32155,2022-01-28,Eurofins (historic),0.0,0.0,CL_mg/l,=,2.1,historic
