vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value
020-45013,2021-06-23 07:15:46,Eurofins,0.0,0.0,CA_mg/l,nan,2.9
020-45013,2021-06-23 07:15:46,Eurofins,0.0,0.0,CA_mg/l,nan,1.1
020-45013,2021-06-23 07:15:46,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,7.0
020-45013,2021-06-23 07:15:46,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2
020-45060,2021-06-23 07:15:46,Eurofins,0.0,0.0,CA_mg/l,nan,0.7
020-45060,2021-06-23 07:15:46,Eurofins,0.0,0.0,CA_mg/l,nan,0.64
020-45060,2021-06-23 07:15:46,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.8
020-45060,2021-06-23 07:15:46,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.6
021-101031,2021-05-26 07:15:46,Eurofins,0.0,0.0,CA_mg/l,nan,0.69
021-101031,2021-05-26 07:15:46,Eurofins,0.0,0.0,CA_mg/l,nan,0.62
021-101031,2021-05-26 07:15:46,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1
021-101031,2021-05-26 07:15:46,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1
021-32115,2021-05-26 07:15:46,Eurofins,0.0,0.0,CA_mg/l,nan,0.97
021-32115,2021-05-26 07:15:46,Eurofins,0.0,0.0,CA_mg/l,nan,0.91
021-32115,2021-05-26 07:15:46,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.8
021-32115,2021-05-26 07:15:46,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9
022-32001,,Eurofins,0.0,0.0,CA_mg/l,nan,1.1
022-32001,,Eurofins,0.0,0.0,CA_mg/l,nan,1.1
022-32001,,Eurofins,0.0,0.0,CA_mg/l,nan,0.95
022-32001,,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,52.0
022-32001,,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,28.0
022-32001,,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,40.0
022-32001,,Eurofins,0.0,0.0,KOND_mS/m,nan,1.52
022-32001,,Eurofins,0.0,0.0,KOND_mS/m,nan,1.47
022-32001,,Eurofins,0.0,0.0,KOND_mS/m,nan,1.34
022-32001,,Eurofins,0.0,0.0,LAL_µg/l Al,nan,17.0
022-32001,,Eurofins,0.0,0.0,LAL_µg/l Al,nan,13.0
022-32001,,Eurofins,0.0,0.0,LAL_µg/l Al,nan,16.0
022-32001,,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.3
022-32001,,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.5
022-32001,,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.3
022-32001,,Eurofins,0.0,0.0,RAL_µg/l Al,nan,69.0
022-32001,,Eurofins,0.0,0.0,RAL_µg/l Al,nan,41.0
022-32001,,Eurofins,0.0,0.0,RAL_µg/l Al,nan,56.0
022-32001,,Eurofins,0.0,0.0,TOC_mg/l C,nan,5.0
022-32001,,Eurofins,0.0,0.0,TOC_mg/l C,nan,4.2
022-32001,,Eurofins,0.0,0.0,TOC_mg/l C,nan,5.5
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,CA_mg/l,nan,0.97
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,CA_mg/l,nan,1.9
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,67.0
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,17.0
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,KOND_mS/m,nan,3.03
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,KOND_mS/m,nan,4.03
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,LAL_µg/l Al,nan,73.0
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,LAL_µg/l Al,nan,8.0
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.4
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.6
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,RAL_µg/l Al,nan,140.0
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,RAL_µg/l Al,nan,25.0
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,TOC_mg/l C,nan,6.6
022-32018,2021-05-12 07:10:33,Eurofins,0.0,0.0,TOC_mg/l C,nan,2.8
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,CA_mg/l,nan,2.6
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,CA_mg/l,nan,1.5
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,11.0
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,46.0
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,KOND_mS/m,nan,3.98
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,KOND_mS/m,nan,2.93
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,LAL_µg/l Al,nan,5.0
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,LAL_µg/l Al,nan,30.0
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.7
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,RAL_µg/l Al,nan,16.0
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,RAL_µg/l Al,nan,76.0
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,TOC_mg/l C,nan,3.1
022-32019,2021-05-12 07:10:33,Eurofins,0.0,0.0,TOC_mg/l C,nan,6.0
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,CA_mg/l,nan,3.0
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,CA_mg/l,nan,1.6
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,9.5
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,43.0
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,KOND_mS/m,nan,5.48
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,KOND_mS/m,nan,3.65
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,LAL_µg/l Al,nan,8.0
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,LAL_µg/l Al,nan,28.0
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.7
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,RAL_µg/l Al,nan,17.0
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,RAL_µg/l Al,nan,71.0
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,TOC_mg/l C,nan,3.0
022-32020,2021-05-12 07:10:33,Eurofins,0.0,0.0,TOC_mg/l C,nan,4.6
