vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value
019-28921,2018-10-22,VestfoldLAB (historic),0.0,0.0,CA_mg/l,=,1.38
019-28921,2018-10-22,VestfoldLAB (historic),0.0,0.0,CA_mg/l,=,1.35
019-28921,2018-10-22,VestfoldLAB (historic),0.0,0.0,PH_<ubenevnt>,=,6.2
019-28921,2018-10-22,VestfoldLAB (historic),0.0,0.0,PH_<ubenevnt>,=,6.11
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,CA_mg/l,=,0.8
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,CA_mg/l,=,0.82
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,ILAL_µg/l Al,=,37.0
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,ILAL_µg/l Al,=,37.0
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,LAL_µg/l Al,=,12.0
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,LAL_µg/l Al,=,12.0
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,PH_<ubenevnt>,=,5.78
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,PH_<ubenevnt>,=,5.79
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,RAL_µg/l Al,=,49.0
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,RAL_µg/l Al,=,49.0
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,TEMP_°C,=,4.7
019-31883,2017-11-19,VestfoldLAB (historic),30.0,30.0,TEMP_°C,=,4.7
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,CA_mg/l,=,1.34
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,CA_mg/l,=,1.0
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,ILAL_µg/l Al,=,71.0
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,ILAL_µg/l Al,=,50.0
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,LAL_µg/l Al,=,21.0
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,LAL_µg/l Al,=,24.0
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,PH_<ubenevnt>,=,5.93
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,PH_<ubenevnt>,=,6.28
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,RAL_µg/l Al,=,71.0
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,RAL_µg/l Al,=,95.0
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,TEMP_°C,=,1.0
020-32145,2017-01-02,VestfoldLAB (historic),0.0,0.0,TEMP_°C,=,3.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,ALK_mmol/l,=,0.036000000000000004
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,ALK_mmol/l,=,0.047
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,ANC_µekv/l,=,23.6
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,ANC_µekv/l,=,28.5
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,CA_mg/l,=,0.34
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,CA_mg/l,=,0.34
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,CL_mg/l,=,1.4
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,CL_mg/l,=,1.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,ILAL_µg/l Al,=,51.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,ILAL_µg/l Al,=,52.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,KOND_mS/m,=,1.1
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,KOND_mS/m,=,1.1
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,K_mg/l,=,0.08800000000000001
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,K_mg/l,=,0.09
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,LAL_µg/l Al,=,39.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,LAL_µg/l Al,=,35.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,MG_mg/l,=,0.13
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,MG_mg/l,=,0.14
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,N-SNOX_µg/l N,=,85.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,N-SNOX_µg/l N,=,62.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,N-TOT_µg/l N,=,140.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,N-TOT_µg/l N,=,150.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,NA_mg/l,=,1.11
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,NA_mg/l,=,1.01
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,P-TOT_µg/l P,<,2.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,P-TOT_µg/l P,=,9.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,PH_<ubenevnt>,=,5.25
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,PH_<ubenevnt>,=,5.52
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,RAL_µg/l Al,=,86.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,RAL_µg/l Al,=,91.0
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,SIO2_µg/l Si,=,2.1
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,SIO2_µg/l Si,=,1.97
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,SO4_mg/l,=,0.57
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,SO4_mg/l,=,0.58
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,TOC_mg/l C,=,4.6
020-40521,2017-01-02,VestfoldLAB (historic),0.0,0.0,TOC_mg/l C,=,5.4
020-44497,2016-01-05,NIVA (historic),0.0,0.0,CA_mg/l,=,1.26
020-44497,2016-01-05,NIVA (historic),0.0,0.0,CA_mg/l,=,1.18
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,ALK_mmol/l,=,0.034
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,ALK_mmol/l,=,0.035
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,ANC_µekv/l,=,26.3
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,ANC_µekv/l,=,19.4
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,CA_mg/l,=,0.18
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,CA_mg/l,=,0.29
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,CL_mg/l,=,1.5
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,CL_mg/l,=,1.7
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,ILAL_µg/l Al,=,57.0
020-58796,2017-01-02,VestfoldLAB (historic),0.0,0.0,ILAL_µg/l Al,=,62.0
