vannmiljo_code,month,new,his_min,his_median,his_max
021-29246,3,1,3.0,3.0,3.0
021-45780,3,1,3.0,3.0,3.0
022-58904,3,1,3.0,4.0,5.0
027-58831,2,2,3.0,3.5,4.0
036-58863,3,1,2.0,4.0,5.0
038-58854,2,2,4.0,4.0,4.0
038-58854,3,1,4.0,4.0,4.0
064-28997,2,3,4.0,4.0,4.0
064-81557,2,3,4.0,4.0,4.0
064-82800,2,3,4.0,4.0,4.0
082-50557,2,2,3.0,3.5,4.0
