vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
020-79149,2021-06-08 07:45:34,Eurofins,new,0.0,0.0,5.9,7.4,outlier
021-28450,2021-05-06 07:15:18,Eurofins,new,0.0,0.0,7.7,6.8,outlier
027-58846,2021-04-20 07:10:43,Eurofins,new,0.0,0.0,4.5,8.9,outlier
027-58846,2021-04-27 07:10:36,Eurofins,new,0.0,0.0,4.0,7.3,outlier
027-58846,2021-05-19 07:10:55,Eurofins,new,0.0,0.0,4.1,7.4,outlier
027-58846,2021-06-02 07:15:30,Eurofins,new,0.0,0.0,4.5,9.1,outlier
036-58751,2021-05-11 07:10:34,Eurofins,new,0.0,0.0,4.0,7.7,outlier
036-58751,2021-05-26 07:15:43,Eurofins,new,0.0,0.0,3.1,8.6,outlier
036-58751,2021-06-01 07:20:00,Eurofins,new,0.0,0.0,2.5,8.4,outlier
036-58751,2021-06-08 07:00:58,Eurofins,new,0.0,0.0,2.6,8.7,outlier
