vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
021-28450,2020-04-27,VestfoldLAB,new,0.0,0.0,5.79,6.76,outlier
022-45769,2020-04-27,VestfoldLAB,new,0.0,0.0,6.15,6.65,outlier
022-45769,2020-05-11,VestfoldLAB,new,0.0,0.0,5.68,6.5,outlier
022-45769,2020-05-18,VestfoldLAB,new,0.0,0.0,6.45,6.49,outlier
027-58846,2020-04-20,VestfoldLAB,new,0.0,0.0,4.6,7.08,outlier
027-58846,2020-05-18,VestfoldLAB,new,0.0,0.0,6.01,7.36,outlier
027-58846,2020-06-01,VestfoldLAB,new,0.0,0.0,5.13,7.26,outlier
027-58846,2020-06-08,VestfoldLAB,new,0.0,0.0,3.71,7.41,outlier
027-58846,2020-06-22,VestfoldLAB,new,0.0,0.0,5.24,7.3,outlier
027-58847,2020-03-23,VestfoldLAB,new,0.0,0.0,6.14,6.29,outlier
027-58850,2020-04-27,VestfoldLAB,new,0.0,0.0,5.44,6.4,outlier
027-58850,2020-05-04,VestfoldLAB,new,0.0,0.0,5.71,6.73,outlier
027-79278 ,2020-05-11,VestfoldLAB,new,0.0,0.0,4.48,7.13,outlier
030-58836,2020-01-13,VestfoldLAB,new,0.0,0.0,3.61,7.28,outlier
036-58750,2020-05-25,VestfoldLAB,new,0.0,0.0,15.6,7.04,outlier
079-58878,2020-02-24,VestfoldLAB,new,0.0,0.0,10.8,6.05,outlier
079-58878,2020-03-02,VestfoldLAB,new,0.0,0.0,25.8,6.06,outlier
079-58878,2020-03-16,VestfoldLAB,new,0.0,0.0,10.0,6.37,outlier
079-58878,2020-04-06,VestfoldLAB,new,0.0,0.0,22.0,6.49,outlier
082-58870,2020-02-10,VestfoldLAB,new,0.0,0.0,7.51,7.46,outlier
082-58870,2020-03-16,VestfoldLAB,new,0.0,0.0,16.7,7.94,outlier
082-58870,2020-03-23,VestfoldLAB,new,0.0,0.0,3.68,7.35,outlier
082-58870,2020-04-20,VestfoldLAB,new,0.0,0.0,3.02,7.58,outlier
082-58870,2020-05-04,VestfoldLAB,new,0.0,0.0,5.53,7.38,outlier
082-58870,2020-05-11,VestfoldLAB,new,0.0,0.0,4.48,7.41,outlier
082-58877,2020-02-24,VestfoldLAB,new,0.0,0.0,5.94,6.87,outlier
