vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
027-58846,2021-03-11 07:05:53,Eurofins,new,0.0,0.0,4.2,9.1,outlier
027-58846,2021-03-23 07:10:55,Eurofins,new,0.0,0.0,6.2,9.0,outlier
027-58847,2021-02-17 07:15:46,Eurofins,new,0.0,0.0,6.3,5.7,outlier
030-58768,2021-02-16 07:10:56,Eurofins,new,0.0,0.0,4.1,7.2,outlier
030-58768,2021-03-30 07:15:59,Eurofins,new,0.0,0.0,4.1,7.5,outlier
030-58838,2021-03-23 07:10:31,Eurofins,new,0.0,0.0,6.3,6.1,outlier
036-58751,2021-02-02 07:00:34,Eurofins,new,0.0,0.0,8.8,9.0,outlier
036-58751,2021-03-09 07:05:07,Eurofins,new,0.0,0.0,6.8,8.9,outlier
036-86020,2021-02-16 07:10:00,Eurofins,new,0.0,0.0,4.6,7.1,outlier
061-58800,2021-02-10 07:15:47,Eurofins,new,0.0,0.0,4.8,7.0,outlier
061-58800,2021-03-30 07:15:59,Eurofins,new,0.0,0.0,7.2,6.6,outlier
082-50557,2021-02-23 07:05:00,Eurofins,new,0.0,0.0,5.1,7.2,outlier
082-58870,2021-03-16 07:10:41,Eurofins,new,0.0,0.0,5.4,7.1,outlier
082-58876,2021-01-19 07:10:33,Eurofins,new,0.0,0.0,7.4,8.3,outlier
