vannmiljo_code,sample_date,lab,period,depth1,depth2,CA_mg/l,PH_<ubenevnt>,pred
021-28450,2024-05-20,Eurofins,new,0.0,0.0,8.5,6.8,outlier
021-28450,2024-05-26,Eurofins,new,0.0,0.0,6.9,6.8,outlier
021-28451,2024-05-12,Eurofins,new,0.0,0.0,6.7,6.6,outlier
022-32018,2024-05-06,Eurofins,new,0.0,0.0,6.0,7.0,outlier
022-32018,2024-05-13,Eurofins,new,0.0,0.0,6.8,7.1,outlier
022-32018,2024-05-20,Eurofins,new,0.0,0.0,8.7,7.4,outlier
022-32018,2024-05-27,Eurofins,new,0.0,0.0,8.8,7.2,outlier
022-32018,2024-06-03,Eurofins,new,0.0,0.0,8.2,7.3,outlier
022-32020,2024-05-20,Eurofins,new,0.0,0.0,7.2,7.0,outlier
022-32020,2024-05-27,Eurofins,new,0.0,0.0,5.3,7.1,outlier
022-45769,2024-05-13,Eurofins,new,0.0,0.0,6.5,6.6,outlier
022-45769,2024-05-21,Eurofins,new,0.0,0.0,6.1,6.4,outlier
025-45773,2024-05-27,Eurofins,new,0.0,0.0,13.0,6.3,outlier
027-47731,2024-04-29,Eurofins,new,0.0,0.0,6.3,9.1,outlier
027-58846,2024-05-06,Eurofins,new,0.0,0.0,3.5,7.5,outlier
027-58846,2024-06-03,Eurofins,new,0.0,0.0,3.6,7.4,outlier
027-58850,2024-05-20,Eurofins,new,0.0,0.0,5.0,7.0,outlier
027-58850,2024-05-27,Eurofins,new,0.0,0.0,5.3,7.0,outlier
027-79278,2024-06-04,Eurofins,new,0.0,0.0,5.9,7.3,outlier
030-58768,2024-04-24,Eurofins,new,0.0,0.0,5.6,7.5,outlier
062-58818,2024-06-04,Eurofins,new,0.0,0.0,13.0,6.3,outlier
