vannmiljo_code,month,new,his_min,his_median,his_max
020-79149,4,2.0,3.0,3.5,4.0
020-97010,4,2.0,3.0,3.0,3.0
020-97010,6,1.0,2.0,2.0,2.0
022-58904,6,1.0,2.0,2.5,4.0
026-97012,6,1.0,2.0,2.0,2.0
036-58863,4,3.0,4.0,4.0,5.0
036-58863,6,1.0,2.0,2.0,3.0
038-58854,6,1.0,2.0,2.5,3.0
038-58866,6,1.0,2.0,2.0,3.0
038-58867,6,1.0,2.0,2.0,3.0
063-58804,5,1.0,4.0,4.0,5.0
063-58807,5,1.0,4.0,4.0,5.0
067-58825,5,3.0,4.0,4.0,5.0
067-58826,5,2.0,3.0,4.0,5.0
067-79150,5,3.0,4.0,4.0,5.0
082-50219,5,2.0,4.0,4.0,5.0
082-50557,5,1.0,4.0,4.0,5.0
082-58871,5,2.0,4.0,4.0,5.0
082-58872,5,2.0,3.0,4.0,5.0
082-58873,5,2.0,4.0,4.0,5.0
082-58874,5,2.0,4.0,4.0,5.0
082-58876,5,2.0,4.0,4.0,5.0
082-58877,5,2.0,4.0,4.0,5.0
082-81553,5,2.0,4.0,4.0,5.0
082-81554,5,2.0,4.0,4.0,5.0
